"MAC","Hersteller","Straße", "Ort", "Land"
"888F10","Shenzhen Max Infinite Technology Co.,Ltd.","Room 908 Building 2, Aviation&Space Building, No.53 Gaoxin South 9th Road, Gaoxin Community, Yuehai Street,Nanshan District, Shenzhen","Shenzhen  Guangdong  518000","CN"
"68505D","Halo Technologies","15775 Gateway Cir","Tustin  CA  92780","US"
"7C6A8A","SINOBONDER Technology Co., Ltd.","Building 1, No. 245, Guanchang Road, Dongcheng District","Dongguan  Guangdong  523000","CN"
"90ECE3","Nokia","600 March Road","Kanata  Ontario  K2K 2E6","CA"
"887B2C","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"60DBEF","Unify Software and Solutions GmbH & Co. KG","Otto-Hahn-Ring 6","Munich    81739","DE"
"408432","Microchip Technology Inc.","2355 W. Chandler Blvd.","Chandler  AZ  85224","US"
"88B5FF","Shenzhen iComm Semiconductor CO.,LTD","Room 601,Block B ,Digital Building,Garden City","Shenzhen  No.1079 Nanhai Road,Nanshan District  518067","CN"
"842859","Amazon Technologies Inc.","P.O Box 8102","Reno  NV  89507","US"
"ACC048","OnePlus Technology (Shenzhen) Co., Ltd","18C02, 18C03, 18C04 ,18C05,TAIRAN BUILDING,","Shenzhen  Guangdong  518000","CN"
"905607","Sichuan AI-Link Technology Co., Ltd.","Anzhou,Industrial Park","Anzhou,Industrial Park  Sichuan  621000","CN"
"483133","Robert Bosch Elektronika Kft.","Robert Bosch út 1.","Hatvan    3000","HU"
"B8AB61","Cisco Meraki","500 Terry A. Francois Blvd","San Francisco    94158","US"
"44D5C1","EM Microelectronic","Rue des Sors 3","Marin-Epagnier  Neuchatel  2074","CH"
"40B7FC","Phyplus Microelectronics Limited","304 Building 1 No.608 Sheng Xia Road","Shanghai    200000","CN"
"682C4F","leerang corporation","#101,69, Jongam-ro 28-gil, Seongbuk-gu","seoul    02797","KR"
"FC59C0","Arista Networks","5453 Great America Parkway","Santa Clara  CA  95054","US"
"641B2F","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"68DDB7","TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan","Shenzhen  Guangdong  518057","CN"
"14D864","TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan","Shenzhen  Guangdong  518057","CN"
"B851A9","Nokia","600 March Road","Kanata  Ontario  K2K 2E6","CA"
"D077CE","Edgecore Networks Corporation","1 Creation RD 3.","Hsinchu    30077","TW"
"ECAFF9","Hailo Technologies Ltd.","94 Yigal Alon","Tel Aviv    6789139","IL"
"60152B","Palo Alto Networks","3000 Tannery Way","Santa Clara  CA  95054","US"
"28EC22","eero inc.","660 3rd Street","San Francisco  CA  94107","US"
"40D4F6","Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District","Shenzhen   Guangdong  518040","CN"
"7C3180","SMK corporation","6-5-5 Togoshi","Shinagawa    1428511","JP"
"782DAD","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"D06158","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"244BF1","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"44D77E","Robert Bosch GmbH","Tuebinger Str. 123","Reutlingen    72762","DE"
"0016F6","Nevion","Lysaker Torg 5","Lysaker    NO-1366","NO"
"9C73B1","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"388A06","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"B0D888","Panasonic Automotive Systems Co.,Ltd","5652","Matsumoto City  Nagano  399-8730","JP"
"843E1D","Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park","Hui Zhou  Guangdong  516025","CN"
"40ED00","TP-Link Corporation Limited","Room 901,9/F.New East Ocean Centre, 9 Science Museum Road","Tsim Sha Tsui  Kowloon  999077","HK"
"908855","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"687161","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"883F37","UHTEK CO., LTD.","403DONG 503HO, 655 PYEONGCHEON-RO","BUCHEONSI  KYEONGGIDO  14502","KR"
"4893DC","UNIWAY INFOCOM PVT LTD","BLOCK C 9 4 WAZIRPUR INDUSTRIAL AREA","NEW DELHI  DELHI  110052","IN"
"5CE688","VECOS Europe B.V.","ESP 237","Eindhoven  Noord-Brabant  5633 AD","NL"
"D4BAFA","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,","DONG GUAN  GUANG DONG  523860","CN"
"0080B8","DMG MORI Digital Co., LTD","1-1-14 Techno park,","Shimonopporo, Atsubetsuku, Sapporo  Hokkaido  004-0015","JP"
"2873F6","Amazon Technologies Inc.","P.O Box 8102","Reno  NV  89507","US"
"C4EBFF","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"5C2886","Inventec(Chongqing) Corporation","No.66 West District 2nd Rd, Shapingba District","Chongqing  Chongqing  401331","CN"
"201582","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"E0CB1D","Amazon Technologies Inc.","P.O Box 8102","Reno  NV  89507","US"
"FC84A7","Murata Manufacturing Co., Ltd.","1-10-1, Higashikotari","Nagaokakyo-shi  Kyoto  617-8555","JP"
"40921A","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"10E2C9","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"4CEC0F","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"3CCB4D","Avikus Co., Ltd","11F, 70, Nonhyeon-ro 85-gil","Gangnam-gu  Seoul  06234","KR"
"24A42C","NETIO products a.s.","U Pily 3","Prague    143 00","CZ"
"702F86","Marquardt GmbH","Schloss-Strasse 16","Rietheim-Weilheim    78604","DE"
"A8881F","SERVERCOM (INDIA) PRIVATE LIMITED","E-43/1 OKHLA INDUSTRIAL AREA PHASE-II NEW DELHI SOUTH DELHI","NEW DELHI    NA","IN"
"601B52","Vodafone Italia S.p.A.","Via Lorenteggio nr. 240","Milan  Italy  20147","IT"
"C08F20","Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,","Shenzhen  Guangdong  518057","CN"
"08FF24","Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,","Shenzhen  Guangdong  518057","CN"
"90B67A","Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,","Shenzhen  Guangdong  518057","CN"
"249AC8","Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,","Shenzhen  Guangdong  518057","CN"
"28C01B","Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,","Shenzhen  Guangdong  518057","CN"
"005079","Private","","E0-28-B1   (hex)		Shenzhen Skyworth Digital  Technology  CO., Ltd","E028B1     (base 16)		Shenzhen Skyworth Digital  Technology  CO., Ltd"
"303180","Shenzhen Skyworth Digital Technology CO., Ltd","4F,Block A, Skyworth?Building,","Shenzhen  Guangdong  518057","CN"
"38A851","Quickset Defense Technologies, LLC","3650 Woodhead Drive","Northbrook   IL  60062","US"
"0436B8","I&C Technology","I&C Building, 24, Pangyo-ro 255beon-gil, Bundang-gu","Seongnam-si  Gyeonggi-do  13486","KR"
"D0431E","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"204747","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"F0A0B1","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"404F42","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"3086F1","Fiberhome Telecommunication Technologies Co.,LTD","No.5 DongXin Road","Wuhan  Hubei  430074","CN"
"847BEB","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"989096","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"801844","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"9840BB","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"D481D7","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"00B0D0","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"0019B9","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"001AA0","Dell Inc.","One Dell Way,  MS RR5-45","Round Rock    78682","US"
"002564","Dell Inc.","One Dell Way, MS RR5-45","Round Rock    78682","US"
"A4BADB","Dell Inc.","One Dell Way, MS RR5-45","Round Rock    78682","US"
"001C23","Dell Inc.","One Dell Way,  MS RR5-45","Round Rock    78682","US"
"1100AA","Private","","9C-93-E4   (hex)		Private","9C93E4     (base 16)		Private"
"782BCB","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"14FEB5","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"180373","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"74867A","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"A41F72","Dell Inc.","One Dell way","Round Rock     78682","US"
"00C04F","Dell Inc.","1807 WEST BRAKER LANE-BLDG.","AUSTIN  TX  78758-3610","US"
"000BDB","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"00123F","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"00CB00","Private","","44-20-63   (hex)		Continental Automotive Technologies GmbH","442063     (base 16)		Continental Automotive Technologies GmbH"
"581031","Hon Hai Precision IND.CO.,LTD","No. 66 Chung Shan Road TU-Cheng Industrial district TAIPEI TAIWAN","TAIPEI  TAIWAN  33859","CN"
"54BF64","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"CCC5E5","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"4CD98F","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"DCF401","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"6C2B59","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"C8F750","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"485A0D","Juniper Networks","1133 Innovation Way","Sunnyvale  CA  94089","US"
"D08E79","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"B44506","Dell Inc.","One Dell Way","Round Rock   TX  78682","US"
"04BF1B","Dell Inc.","One Dell Way","Round Rock   TX  78682","US"
"F80DA9","Zyxel Communications Corporation","No. 6 Innovation Road II, Science Park","Hsichu  Taiwan  300","TW"
"98E743","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"185A58","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"E0D848","Dell Inc.","One Dell Way","Round Rock  TX  78682","US"
"AC919B","Wistron Neweb Corporation","No.20,Park Avenue II,Hsinchu Science Park","Hsin-Chu  R.O.C.  308","TW"
"E03C1C","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"000993","Visteon Corporation","16630 Southfield Road","Allen Park  Michigan  48101","US"
"EC41CA","Shenzhen TecAnswer Technology co.,ltd","1004 yuemeite Building,No.1 gaoxin South 7th Road,Gaoxin District,Yuehai Street,Nanshan District,Shenzhen","Shenzhen  Guangdong  518063","CN"
